frame_index,track_id,class_name,confidence,x1,y1,x2,y2,vel_x,vel_y,acc_x,acc_y,agent_yaw
0,0,ego,1.0,1563.4928221418415,841.723603602049,1567.9928221418415,843.723603602049,8.004452368457341e-06,0.0001048670427483017,-2.544514150523045e-05,-4.6390164374231235e-05,-2.4659956278955066
0,1428,vehicle,1.0,1539.0605,875.8629999999999,1543.1475,877.727,0.0,0.0,0.0,0.0,0.824790244659998
0,1429,vehicle,1.0,1530.8519999999999,882.319,1535.076,884.267,0.0,0.0,0.0,0.0,-2.3168024089297945
0,1430,vehicle,1.0,1534.4705000000001,879.606,1538.7375,881.5,-0.0005001219808427837,0.0015003757225558307,-0.0009990239212183004,-0.0003342426988348443,0.824790244659998
0,1431,vehicle,1.0,1564.998,837.9445000000001,1569.5439999999999,839.9455,0.0,0.0,0.0,0.0,-2.2817561975293223
0,1432,vehicle,1.0,1571.855,806.9175,1580.819,809.7265,-6.905718072295313,6.133025836784354,0.005776484260668485,-0.004871563814524507,2.4259378470569066
0,1433,vehicle,1.0,1586.9405000000002,846.0545,1591.1115,847.7715000000001,5.306319312417876,2.5196269210602633,0.3751767375671215,-0.11712781784572099,0.5115909103311135
0,1434,vehicle,1.0,1509.8245,862.8055,1522.4115,865.5305,-5.501368146574655,4.717673247045096,-0.2157956768961924,0.18472813420890574,2.4327271779314286
0,1435,vehicle,1.0,1521.5675,841.422,1533.7205,844.604,4.827701510717192,-3.9214755327146715,-0.1778001833507754,-0.03340942986099723,-0.7190058386498802
0,1436,vehicle,1.0,1522.6275,868.097,1526.6945,869.9269999999999,0.0,0.0,0.0,0.0,-2.3954643983241994
0,1437,vehicle,1.0,1600.0775,851.85,1604.1825000000001,853.572,6.109019786102497,1.8479600200639426,0.03095543212179457,-0.10907144081595627,0.3025702791263174
0,1438,vehicle,1.0,1534.2225,801.1505,1538.4815,802.9495,0.0,0.0,0.0,0.0,-2.2919489204492547
0,1439,vehicle,1.0,1559.384,822.1134999999999,1571.8020000000001,824.9665,-4.903219871145994,4.590642107427632,0.0029621149385773773,-0.003730201798232006,2.3891986662854228
0,1440,vehicle,1.0,1525.4965,871.7125,1529.8335,873.6355,-0.010002488517106788,-0.010002488517220503,-0.0006588597594908088,7.401828899916906e-06,-2.370331657095481
0,1441,vehicle,1.0,1535.2075,860.6355,1539.1864999999998,862.3645,0.0005001219809564983,-0.0005001219808427837,0.0003327623331305571,-0.0003327623330548955,-2.265611901975822
0,1442,vehicle,1.0,1538.3995,846.2195,1542.8764999999999,848.0604999999999,-7.331324068728684,6.6371513558529625,0.045093732570650795,-0.04108498514415093,2.405831654125426
